OFS_FIB_MNF,OFS_FIB_MDF,EMG_EMG_MDF,IMU2_AccX_Mean,EMG_EMG_IMNF,EMG_EMG_MNF,OFS_FIB_IMNF,IMU2_AccZ_Mean,IMU2_AccZ_RMS,IMU2_AccZ_StdDev,fatigue_level
-0.882536,-0.17465,0.16768,1.084333,2.354559,-0.238645,0.248618,1.099375,0.341282,0.249965,1
0.033665,-0.107628,-0.129903,0.862092,-0.05298,-0.564228,0.047254,0.83031,0.286365,0.226953,1
0.807759,0.103012,0.190208,0.688305,-0.055036,-0.03798,-0.188534,0.685224,0.268159,0.225941,1
-0.386466,-0.229384,-0.064502,0.823364,-0.173882,0.049677,-0.302775,0.98206,0.388759,0.321933,1
-0.381705,-0.212514,0.107272,0.887218,-0.206342,0.212686,-0.349878,1.06287,0.497545,0.433994,1
-0.352748,-0.219694,0.188807,0.863897,-0.202725,0.085378,-0.371312,0.913944,0.561674,0.523553,1
-0.341724,-0.213142,-0.01813,0.87236,-0.241771,-0.253578,-0.377022,0.895799,0.680594,0.655446,1
-0.342725,-0.196634,0.003506,0.753226,-0.234773,-0.266015,-0.390639,0.879214,0.610231,0.580862,1
-0.361023,-0.227971,-0.101321,0.68228,-0.207853,-0.196598,-0.403768,0.747351,0.504094,0.479,1
-0.330338,-0.184599,0.114587,0.82841,-0.20379,-0.072178,-0.406532,1.088363,0.550396,0.489837,1
-0.378501,-0.265664,0.078199,0.813042,-0.245283,0.448128,-0.399441,1.193418,0.601962,0.533828,1
-0.405228,-0.248636,-0.173527,0.794917,-0.225243,-0.354651,-0.395127,1.156922,0.758754,0.711847,1
-0.410626,-0.225284,-0.107065,0.71911,-0.225306,-0.326924,-0.4014,0.762646,0.810152,0.804327,1
-0.413093,-0.192603,-0.034028,0.821578,-0.168472,0.678885,-0.404888,0.70201,0.829287,0.831332,1
-0.409374,-0.192628,-0.140894,0.802611,-0.071211,-0.3788,-0.398741,0.862189,0.98599,0.984315,1
-0.397287,-0.181817,-0.049751,0.783611,-0.129045,-0.406077,-0.39868,1.099482,1.041943,1.022603,1
-0.436708,-0.229492,-0.022692,0.963544,-0.21531,-0.228433,-0.405149,0.761428,1.229274,1.242804,1
-0.431358,-0.223541,-0.023735,0.713704,-0.184516,-0.199359,-0.409391,0.845406,1.505518,1.529158,1
-0.377035,-0.194561,-0.025494,0.83315,-0.064977,-0.279256,-0.407671,1.152418,1.689438,1.700893,1
-0.332611,-0.137058,-0.142065,1.025107,-0.039021,-0.381141,-0.396459,0.532481,1.804709,1.852238,1
-0.341456,-0.144631,-0.04175,0.69446,-0.136073,-0.196528,-0.382864,0.354008,1.795262,1.852134,1
-0.347593,-0.103547,-0.133372,0.908855,-0.209071,-0.35413,-0.38587,1.214078,1.807317,1.818263,1
-0.373669,-0.218129,-0.102207,0.739144,-0.173576,-0.301573,-0.390815,0.299544,1.813137,1.871576,1
-0.331212,-0.124891,-0.098185,0.866749,-0.094068,-0.521831,-0.383545,0.675547,1.838534,1.881995,1
-0.371693,-0.165094,-0.113974,0.997448,-0.096217,-0.296927,-0.378721,1.231044,1.563291,1.563612,1
-0.363785,-0.137698,0.028151,0.994836,-0.176509,0.13584,-0.374415,0.434736,1.555269,1.602626,1
-0.312759,-0.150886,-0.060062,0.62415,-0.246743,-0.253769,-0.36656,0.677357,1.356202,1.383375,1
-0.366072,-0.237198,-0.165163,0.90767,-0.301117,-0.268888,-0.353804,1.369434,1.299298,1.273614,1
-0.316852,-0.106183,-0.104427,0.750916,-0.311206,-0.490508,-0.338282,0.820655,1.038568,1.043265,1
-0.36776,-0.130455,-0.209042,0.951924,-0.284147,-0.228826,-0.319928,0.704478,0.898692,0.905108,1
-0.438457,-0.204276,-0.217,0.896878,-0.276781,-0.387254,-0.281533,0.583233,0.880251,0.89483,1
-0.365425,-0.122857,-0.131346,0.720413,-0.256841,-0.426734,-0.139916,0.900314,0.895189,0.885235,1
-0.399092,-0.172692,-0.135768,0.959541,-0.193217,-0.424682,0.311119,0.860767,0.811438,0.799474,1
-0.343126,-0.131671,-0.170731,0.795003,-0.204014,-0.467905,0.938424,0.846503,0.856027,0.848391,1
-0.31699,-0.068097,0.00925,0.716546,-0.263376,-0.254512,1.287229,0.988089,0.69294,0.656199,1
-0.337143,-0.079042,0.040191,0.964016,-0.260632,-0.281037,0.552486,0.89263,0.493977,0.450806,1
