OFS_FIB_MNF,OFS_FIB_MDF,EMG_EMG_MDF,IMU2_AccX_Mean,EMG_EMG_IMNF,EMG_EMG_MNF,OFS_FIB_IMNF,IMU2_AccZ_Mean,IMU2_AccZ_RMS,IMU2_AccZ_StdDev,fatigue_level
0.002432,0.204083,0.230724,100.000000,22.334139,0.293036,1.282506,100.000000,100.000000,100.000000,1
0.313588,0.214659,0.181664,89.830555,8.384712,0.142451,1.147393,87.215910,95.060985,97.623449,1
0.576482,0.247898,0.234438,81.878233,8.372799,0.385845,0.989183,80.322407,93.423653,97.518917,1
0.170905,0.195446,0.192446,88.058375,7.684195,0.426387,0.912529,94.426002,104.269905,107.432588,1
0.172522,0.198108,0.220765,90.980290,7.496121,0.501780,0.880923,98.265519,114.053725,119.005683,1
0.182356,0.196975,0.234207,89.913120,7.517077,0.442899,0.866541,91.189588,119.821262,128.254965,1
0.186100,0.198009,0.200091,90.300381,7.290842,0.286129,0.862710,90.327478,130.516425,141.876210,1
0.185760,0.200614,0.203658,84.848944,7.331391,0.280377,0.853573,89.539475,124.188327,134.173528,1
0.179546,0.195669,0.186376,81.602570,7.487364,0.312483,0.844764,83.274241,114.642701,123.653719,1
0.189967,0.202513,0.221971,88.289293,7.510906,0.370028,0.842909,99.476781,118.806927,124.772921,1
0.173610,0.189721,0.215972,87.586079,7.270495,0.610674,0.847667,104.468231,123.444626,129.316076,1
0.164533,0.192408,0.174472,86.756692,7.386611,0.239382,0.850562,102.734192,137.545857,147.701057,1
0.162700,0.196093,0.185429,83.287833,7.386242,0.252206,0.846353,84.000979,142.168444,157.251928,1
0.161862,0.201250,0.197470,87.976644,7.715540,0.717401,0.844012,81.119955,143.889384,160.040865,1
0.163125,0.201246,0.179852,87.108772,8.279081,0.228213,0.848137,88.730558,157.982643,175.840223,1
0.167230,0.202952,0.194878,86.239326,7.943985,0.215597,0.848178,100.005084,163.014844,179.794409,1
0.153842,0.195429,0.199339,94.472838,7.444160,0.297759,0.843837,83.943117,179.862646,202.535812,1
0.155659,0.196368,0.199167,83.040477,7.622582,0.311206,0.840991,87.933144,204.706999,232.109044,1
0.174108,0.200941,0.198877,88.506206,8.315200,0.274253,0.842145,102.520239,221.248089,249.845037,1
0.189195,0.210015,0.179659,97.289884,8.465588,0.227130,0.849668,73.065133,231.615129,265.475234,1
0.186191,0.208820,0.196197,82.159894,7.903263,0.312515,0.858790,64.585340,230.765485,265.464492,1
0.184107,0.215303,0.181092,91.970355,7.480307,0.239623,0.856773,105.449886,231.849633,261.966517,1
0.175251,0.197222,0.186230,84.204597,7.685971,0.263931,0.853455,61.997564,232.373053,267.472332,1
0.189670,0.211935,0.186893,90.043636,8.146645,0.162060,0.858333,79.862625,234.657149,268.548366,1
0.175922,0.205591,0.184290,96.024254,8.134194,0.266080,0.861570,106.255974,209.902825,235.667343,1
0.178608,0.209914,0.207721,95.904719,7.668977,0.466238,0.864459,68.420965,209.181375,239.696467,1
