OFS_FIB_MDF,OFS_FIB_MNF,EMG_EMG_MDF,IMU2_AccX_Mean,OFS_FIB_IMNF,IMU2_AccX_RMS,IMU2_AccX_StdDev,EMG_EMG_IMNF,IMU2_AccZ_RMS,IMU2_GyroY_RMS,Fatigue_level
0.247898,0.576482,0.234438,81.878233,0.989183,89.290532,92.018093,8.372799,93.423653,179.06814,0
0.195446,0.170905,0.192446,88.058375,0.912529,91.672769,93.01161,7.684195,104.269905,322.59585,0
0.198108,0.172522,0.220765,90.98029,0.880923,92.719465,93.337574,7.496121,114.053725,422.401254,0
0.196975,0.182356,0.234207,89.91312,0.866541,93.139827,94.330853,7.517077,119.821262,476.010168,0
0.198009,0.1861,0.200091,90.300381,0.86271,92.805841,93.710304,7.290842,130.516425,582.132369,0
0.200614,0.18576,0.203658,84.848944,0.853573,91.895322,94.502433,7.331391,124.188327,634.792225,0
0.195669,0.179546,0.186376,81.60257,0.844764,91.002115,94.456549,7.487364,114.642701,643.361838,0
0.202513,0.189967,0.221971,88.289293,0.842909,96.58826,99.665319,7.510906,118.806927,712.211127,0
0.189721,0.17361,0.215972,87.586079,0.847667,98.003419,101.827103,7.270495,123.444626,757.821778,0
0.192408,0.164533,0.174472,86.756692,0.850562,96.898536,100.618271,7.386611,137.545857,956.387509,0
0.196093,0.1627,0.185429,83.287833,0.846353,93.3447,97.024247,7.386242,142.168444,1190.023653,0
0.20125,0.161862,0.19747,87.976644,0.844012,96.171159,99.178607,7.71554,143.889384,1466.200181,0
0.201246,0.163125,0.179852,87.108772,0.848137,103.764344,109.503892,8.279081,157.982643,1846.953984,0
0.202952,0.16723,0.194878,86.239326,0.848178,107.220827,114.521419,7.943985,163.014844,1869.394511,0
0.195429,0.153842,0.199339,94.472838,0.843837,110.472272,116.228696,7.44416,179.862646,1897.818812,0
0.196368,0.155659,0.199167,83.040477,0.840991,107.995566,116.396531,7.622582,204.706999,2086.367876,0
0.200941,0.174108,0.198877,88.506206,0.842145,112.244088,120.409907,8.3152,221.248089,2118.411176,0
0.210015,0.189195,0.179659,97.289884,0.849668,113.482703,119.301549,8.465588,231.615129,2292.522877,0
0.20882,0.186191,0.196197,82.159894,0.85879,105.662358,113.674955,7.903263,230.765485,2359.659478,0
0.215303,0.184107,0.181092,91.970355,0.856773,111.510404,118.405441,7.480307,231.849633,2491.293211,0
0.197222,0.175251,0.18623,84.204597,0.853455,109.561395,118.203151,7.685971,232.373053,3017.291568,0
0.211935,0.18967,0.186893,90.043636,0.858333,113.513796,121.625285,8.146645,234.657149,3200.683427,0
0.205591,0.175922,0.18429,96.024254,0.86157,117.900725,125.586627,8.134194,209.902825,2879.152249,0
0.209914,0.178608,0.207721,95.904719,0.864459,122.379533,131.455994,7.668977,209.181375,2788.662616,0
0.207833,0.195937,0.193178,78.942594,0.86973,119.287368,132.024647,7.262034,191.278114,2959.383592,0
0.194213,0.177831,0.175851,91.916138,0.878289,120.877167,130.682744,6.94699,186.160356,3114.807112,0
0.214887,0.194547,0.185864,84.743242,0.888704,115.223686,125.32116,6.888534,162.711278,3253.228749,0
0.211057,0.177258,0.168617,93.941133,0.901019,117.046809,125.086537,7.045315,150.131327,3029.155229,0
0.199408,0.153248,0.167305,91.422305,0.926782,122.379793,132.666094,7.087994,148.472855,3063.284884,0
0.212256,0.178051,0.181426,83.347491,1.021805,124.01563,136.920337,7.203528,149.816337,3172.573421,0
0.204392,0.166617,0.180697,94.289678,1.324443,127.109811,138.087354,7.57217,142.284047,3230.902028,0
0.210865,0.185624,0.174933,86.760609,1.745356,126.077353,138.6486,7.509608,146.294284,3118.314473,0
0.220897,0.1945,0.204605,83.170508,1.979399,123.527487,136.258544,7.165664,131.626818,2610.875151,0
0.21917,0.187656,0.209706,94.494463,1.486397,125.518266,135.973256,7.181563,113.732797,2529.710515,0
0.20022,0.161916,0.203059,48.530497,0.818378,67.986955,72.849086,9.857975,55.836149,1277.422989,1
0.21679,0.184129,0.21632,4.432357,0.806812,11.825723,10.990575,7.396558,6.439555,108.77917,1
0.20311,0.183054,0.152322,4.43035,0.806686,12.188471,11.379665,6.958493,7.072853,120.317911,1
0.209618,0.180815,0.196263,4.237026,0.810582,12.314753,11.591813,7.804009,7.807188,127.016801,1
0.215635,0.201275,0.154929,4.759817,0.826213,13.041859,12.168826,7.458177,8.303777,133.78017,1
0.220135,0.208351,0.169954,4.082663,0.843367,12.532588,11.869968,7.408647,8.566977,135.944904,1
0.203474,0.182906,0.187536,4.30593,0.917118,12.56252,11.827474,7.331189,8.88036,140.247218,1
0.207852,0.187139,0.184908,4.72766,1.371928,12.804656,11.928126,7.433248,8.9533,127.155184,1
0.206352,0.185691,0.156031,4.512169,1.779816,13.029881,12.251294,12.399478,9.198659,121.868739,1
0.200996,0.184731,0.165784,4.115158,1.239661,13.074819,12.439406,11.345218,8.957932,125.665878,2
0.192983,0.178759,0.171657,4.513165,0.895108,14.358633,13.662905,7.785984,10.188731,111.792473,2
0.192432,0.175118,0.160686,4.457711,0.833323,14.380304,13.703701,7.410548,10.645444,131.877075,2
0.184052,0.17458,0.174667,4.283509,0.819105,14.729377,14.123894,7.14729,11.540352,142.945149,2
0.197178,0.194144,0.166295,4.380525,0.823507,15.250158,14.639146,7.696814,12.339412,147.893024,2
0.20526,0.18437,0.148288,4.925075,0.813167,16.428763,15.705676,7.54365,12.826405,145.748084,2
0.191837,0.175111,0.150111,4.250472,0.818336,16.072364,15.531218,6.876094,12.853682,144.221595,2
0.190583,0.177441,0.166595,4.598652,0.806229,15.650491,14.991807,6.611869,12.533287,159.347943,2
0.197312,0.180394,0.17102,4.689732,0.803223,15.162657,14.452721,6.738329,12.990891,170.05048,2
0.190024,0.175195,0.158312,4.340386,0.805167,14.545766,13.913173,7.111688,13.132102,171.784045,2
0.190665,0.17998,0.180825,4.390453,0.792162,15.247938,14.634279,7.188887,13.342944,170.649064,2
0.206856,0.211904,0.154534,4.520936,0.794057,16.009277,15.392314,6.984823,14.018686,172.20557,2
0.197976,0.194509,0.156311,4.631839,0.795424,16.364001,15.72906,7.946034,15.065345,185.893168,2
0.190745,0.182776,0.178423,4.332946,0.797061,16.937776,16.406292,7.442252,16.704147,198.190123,2
0.189497,0.182025,0.252257,4.648201,0.800701,17.482345,16.882016,7.01401,18.123334,204.162401,2
0.185182,0.195809,0.139344,4.853184,0.802604,18.110767,17.479783,7.995893,18.286831,206.652788,2
0.205795,0.220044,0.18145,4.595711,0.803105,18.722925,18.189062,7.510609,18.067799,214.316548,2
0.162219,0.150824,0.189336,4.467244,0.818517,19.027453,18.536035,7.517394,17.702653,213.621405,2
0.173791,0.149395,0.166679,4.337174,0.814287,19.490234,19.042583,6.862854,17.215561,227.136533,2
0.167647,0.127983,0.163411,4.541759,0.814453,19.003319,18.491793,7.280931,15.424119,234.605684,2
0.161524,0.135375,0.156449,4.597948,0.820034,19.616695,19.108803,7.683253,14.80867,250.493447,2
0.169776,0.146769,0.173442,4.371363,0.824353,19.803333,19.35607,7.360166,14.742579,262.956599,2
0.160433,0.128695,0.158735,4.23771,0.829203,20.330385,19.92902,6.92029,15.407039,304.692543,2
0.154527,0.129491,0.160438,4.659176,0.829125,19.807764,19.290726,7.102172,14.839637,313.048396,2
0.203453,0.377114,0.156635,102.621861,2.354224,101.721972,90.973716,8.445732,89.313272,154.782853,1
