,min,max,mean,std
Stand-to-stand time,0.91174,2.181,1.4777089005235604,0.24671788388518734
Sit-to-stand time,0.90803,2.8189,1.5370602094240835,0.35080946092979115
Stand-to-sit time,0.67341,1.9228,1.3384836125654451,0.22860227299150082
M_hip vertical range,0.32309,1.381,1.06900277486911,0.19628924459675534
M_hip depth range,0.31243,1.3813,1.0745330890052356,0.18469787097734966
M_hip max vertical velocity,0.71224,1.1494,0.9883065445026178,0.09072093598443214
M_hip min vertical velocity,0.84103,2.0388,1.273972617801047,0.18128175732081148
M_hip max depth velocity,0.51061,1.5341,1.0338946073298432,0.16480477485969733
M_hip min depth velocity,0.047156,1.5414,1.0641630157068063,0.23754150529604348
Knee flexo-extension range,0.46876,1.3195,0.9600656544502617,0.16686647576167624
Knee flexo-extension max velocity,0.82782,2.2451,1.3118103664921468,0.234796834297613
Knee flexo-extension min velocity,0.40384,2.0233,1.2331918324607332,0.2011422083823785
Hip flexo-extension range,0.54682,1.3525,1.1539676963350787,0.11782083592843717
Hip flexo-extension max velocity,0.57941,1.2595,0.9996323560209425,0.14569618166870743
Hip flexo-extension min velocity,0.40008,3.4197,1.4369488481675394,0.47656420398927296
Hip abduction-adduction range,0.023431,1.7881,0.9329319581151831,0.35600815523699864
Hip abduction-adduction max velocity,0.0089834,1.7828,0.9292624261780104,0.35263540574831725
Hip abduction-adduction min velocity,0.209,1.3109,0.8686700523560209,0.2032447914332223
Ankle flexo-extension range,0.85842,2.2948,1.4257317277486914,0.22934973713718076
Ankle flexo-extension max velocity,0.4776,1.4488,1.0356686910994766,0.1617342413697101
Ankle flexo-extension min velocity,0.49918,1.4319,1.0458448691099476,0.16524035103244278
M_shoulder vertical range,0.5302,1.1653,0.9593449738219896,0.1423668596411337
M_shoulder depth range,0.71991,1.0265,0.7997603664921467,0.047859633440122284
M_shoulder max vertical velocity,0.044053,1.4421,1.0465458795811518,0.25014667677995206
M_shoulder min vertical velocity,0.49251,1.4996,1.0471898952879584,0.1625646962774466
M_shoulder max depth velocity,0.51823,1.2058,0.9635041361256544,0.1537697385230072
Spine flexo-extension range,0.84701,2.0277,1.274101884816754,0.16855097789098622
Spine flexo-extension max velocity,0.60584,1.38,1.1809140314136124,0.12739102340092823
Spine flexo-extension min velocity,0.54682,1.3525,1.1538924607329843,0.11777039387463477
Spine abduction-adduction range,0.57941,1.2595,0.9996468586387436,0.14565928149940197
Spine abduction-adduction max velocity,0.85842,2.2948,1.4257767539267017,0.22962213666423736
Spine abduction-adduction min velocity,0.63756,1.4169,1.2118195287958113,0.11730417184346881
Heart Rate,1.0965,1.9828,1.6050303664921464,0.1831621927759562
Fatigue Condition,3.0,3.0,3.0,0.0
