,min,max,mean,std
Spine abduction-adduction max velocity,0.9067,1.9932,1.3452760080645163,0.2104380034483695
Ankle flexo-extension range,0.9067,1.9932,1.3452760080645163,0.2104380034483695
Spine abduction-adduction range,0.55687,1.2299,0.972372620967742,0.13840518342304195
Hip flexo-extension max velocity,0.55687,1.2299,0.972372620967742,0.13840518342304195
M_shoulder depth range,0.73187,1.0269,0.8246335887096775,0.0411626520367256
Hip flexo-extension range,0.55028,1.2823,1.0932147983870968,0.10645463362105183
Spine flexo-extension min velocity,0.55028,1.2823,1.0932410080645163,0.10645605306891709
Stand-to-stand time,0.8806,1.8095,1.3072897177419356,0.14114511383908673
Spine abduction-adduction min velocity,0.56729,1.3461,1.1461050403225805,0.1113517214634459
M_hip depth range,0.59239,1.5102,1.0864551612903226,0.14284775098088792
fatigue_level,2.0,2.0,2.0,0.0
